ptime,npass,olng,olat,dlng,dlat,dist,dtime
2016-05-01 22:18:40,1,-73.93498992919923,40.85153198242188,-73.9251937866211,40.86624145507813,1.17,2016-05-01 22:24:49
2016-05-01 22:18:47,2,-73.94036865234375,40.8406639099121,-73.9853515625,40.77079391479492,6.86,2016-05-01 22:39:33
2016-05-01 22:18:51,1,-73.94868469238281,40.809078216552734,-73.94924163818358,40.79404830932617,1.45,2016-05-01 22:24:25
2016-05-01 22:19:43,1,-73.9379653930664,40.797306060791016,-73.9398193359375,40.82523727416992,2.66,2016-05-01 22:31:40
2016-05-01 22:19:44,1,-73.9516067504883,40.81985473632813,-73.9940414428711,40.75204849243164,6.46,2016-05-01 22:37:57
2016-05-01 22:19:52,1,-73.93453216552734,40.801551818847656,-73.93592834472656,40.80642700195313,0.79,2016-05-01 22:24:20
2016-05-01 22:19:54,1,-73.94036865234375,40.84061050415039,-73.9641876220703,40.805606842041016,3.01,2016-05-01 22:32:58
2016-05-01 22:19:58,6,-73.95526123046875,40.8044319152832,-73.94384002685547,40.825286865234375,1.59,2016-05-01 22:25:40
2016-05-01 22:20:42,1,-73.947998046875,40.82470703125,-73.94560241699219,40.83699035644531,1.15,2016-05-01 22:25:31
2016-05-01 22:20:44,1,-73.93921661376955,40.84225082397461,-73.93081665039062,40.850410461425774,0.91,2016-05-01 22:24:54
2016-05-01 22:20:52,2,-73.95536041259766,40.8046760559082,-73.964111328125,40.80237197875977,0.68,2016-05-01 22:24:08
2016-05-01 22:20:57,2,-73.94322967529298,40.81619644165039,-74.00398254394531,40.7565803527832,6.37,2016-05-01 22:37:49
2016-05-01 22:21:27,1,-73.95140075683594,40.80976867675781,-73.93724060058594,40.807228088378906,0.93,2016-05-01 22:26:13
2016-05-01 22:22:16,1,-73.94916534423827,40.78520584106445,-73.99182891845702,40.72036361694336,7.0,2016-05-01 22:40:20
2016-05-01 22:22:33,2,-73.95658111572266,40.81335830688477,-73.94068145751955,40.81147384643555,1.16,2016-05-01 22:27:58
2016-05-01 22:22:52,1,-73.9322967529297,40.7955436706543,-73.93938446044923,40.79102325439453,0.77,2016-05-01 22:26:23
2016-05-01 22:23:01,1,-73.9428176879883,40.831642150878906,-73.95317840576173,40.82476043701172,1.28,2016-05-01 22:30:02
2016-05-01 22:23:07,1,-73.96526336669923,40.80618667602539,-73.96072387695312,40.81401062011719,1.0,2016-05-01 22:27:14
2016-05-01 22:23:18,1,-73.95641326904298,40.81296920776367,-73.93761444091797,40.796775817871094,1.8,2016-05-01 22:30:56
2016-05-01 22:23:43,1,-73.9522476196289,40.79838180541992,-73.94414520263672,40.790840148925774,1.1,2016-05-01 22:29:38
2016-05-01 22:23:43,1,-73.9529800415039,40.80807113647461,-73.93970489501955,40.79005813598633,1.87,2016-05-01 22:36:22
2016-05-01 22:23:47,1,-73.93665313720702,40.83013916015625,-73.97760772705078,40.78420639038085,4.34,2016-05-01 22:43:08
2016-05-01 22:24:23,1,-73.94597625732422,40.81203842163085,-73.93547821044923,40.80709457397461,0.7,2016-05-01 22:28:10
2016-05-01 22:24:27,1,-73.96651458740234,40.804298400878906,-73.95510864257811,40.81987380981445,1.23,2016-05-01 22:29:17
