edge_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
104,88,32,19,91,59,101,82,108,94,78,32,97,61,105,88,96,127,97,98,81,84,21,29,38
105,54,47,44,47,49,47,41,67,43,65,68,56,57,54,41,59,53,51,50,60,58,77,55,76
106,7,3,5,2,2,2,3,1,2,1,2,2,2,2,3,1,2,8,6,1,5,1,1,6
107,10,9,12,9,24,13,13,20,9,9,11,13,13,14,8,9,24,18,13,14,12,12,12,15
108,4,14,19,10,39,25,30,7,20,22,17,14,15,4,13,4,13,7,10,39,19,13,23,4
109,3,6,3,5,6,10,5,5,6,5,5,4,3,6,4,4,4,5,5,5,6,7,4,2
110,11,14,14,19,10,11,15,8,11,9,8,16,14,11,9,10,19,16,16,28,10,24,6,10
111,47,5,13,5,20,38,53,5,50,26,44,5,20,27,47,29,68,8,53,68,31,63,10,14
112,8,20,18,21,28,20,30,23,27,30,18,20,20,21,18,16,13,20,29,37,18,16,6,15
113,47,12,5,34,48,54,53,58,24,55,63,19,26,33,33,29,68,36,6,68,45,14,5,6
114,20,10,5,27,38,21,29,22,28,31,24,20,6,16,14,4,9,9,11,10,9,28,23,16
115,7,5,3,7,10,8,8,6,7,8,9,8,8,8,7,8,10,8,8,10,5,7,6,4
116,13,12,12,10,12,12,17,9,10,13,11,12,13,10,11,16,12,16,10,15,12,6,12,18
117,34,26,20,35,14,27,38,24,36,40,46,26,39,41,34,26,34,17,30,10,3,25,10,18
118,5,11,14,14,20,16,15,17,15,16,13,11,11,14,14,12,10,10,10,11,14,14,9,7
119,22,7,4,22,10,25,12,27,23,25,29,24,25,26,22,24,31,24,24,31,21,29,12,5
120,29,25,24,25,26,25,22,24,23,35,36,30,24,29,22,26,28,27,27,32,31,17,29,40
121,6,4,2,10,11,11,8,9,11,9,4,8,11,6,10,11,10,11,11,4,7,2,2,9
122,14,11,1,5,2,16,12,13,15,6,11,16,16,17,14,16,5,4,16,7,14,14,5,13
123,10,14,8,19,20,15,20,22,26,28,13,19,19,20,17,10,12,12,11,11,17,13,17,6
124,12,11,15,12,11,14,16,11,14,12,14,17,12,13,10,15,16,15,17,21,14,12,14,17
125,5,20,14,9,13,8,20,8,19,21,24,20,21,26,19,13,18,19,15,27,18,26,26,10
126,8,13,3,5,4,3,12,5,7,12,12,17,14,8,11,4,15,6,3,4,5,11,8,3
127,19,20,38,26,30,45,44,39,42,35,36,30,45,39,39,29,20,22,22,33,30,16,17,20
128,5,18,12,8,12,10,18,9,17,19,22,18,18,23,17,10,23,17,13,13,16,23,9,8
129,22,20,22,19,15,15,10,15,13,21,17,20,21,14,18,16,18,20,23,38,25,35,18,23
130,25,16,22,17,31,24,24,26,22,25,20,16,17,21,21,19,15,15,15,22,21,21,21,16
131,8,8,10,6,8,8,8,5,7,8,9,8,8,7,7,8,10,11,9,14,10,13,7,9
132,13,19,19,16,18,19,26,19,24,20,23,19,20,16,17,24,26,25,28,17,18,14,13,17
133,55,42,44,57,60,30,45,50,58,64,74,36,62,37,55,60,37,61,35,52,52,73,12,49
134,5,16,21,9,10,18,19,10,20,21,13,26,21,18,13,16,25,19,19,14,15,11,9,14
135,7,7,6,2,7,8,7,5,9,5,8,7,7,6,6,6,4,3,6,7,6,12,4,3
136,3,9,5,2,5,3,9,3,9,8,11,9,8,3,9,2,7,6,5,2,8,8,8,3
137,15,30,33,27,5,16,36,39,34,29,43,25,21,38,24,15,32,29,31,22,26,33,20,34
138,2,14,6,11,11,10,10,9,14,11,12,10,9,13,10,12,7,11,9,3,2,14,8,3
139,6,24,19,7,13,7,24,31,33,36,29,24,10,31,31,19,31,27,17,13,21,16,31,22
140,14,13,12,12,17,13,13,14,12,13,11,9,13,11,11,10,12,13,15,17,12,22,12,12
141,11,20,11,15,20,11,15,17,19,16,13,14,16,14,14,12,13,16,15,9,18,21,14,5
142,5,10,12,5,9,8,11,9,12,12,13,15,16,20,11,11,15,11,11,13,9,8,7,10
143,5,4,6,6,3,7,5,5,4,4,3,5,5,5,3,5,4,6,5,6,2,11,6,4
144,4,32,19,19,60,47,34,19,44,37,43,46,17,34,41,36,13,22,36,22,29,29,21,36
145,5,2,6,4,14,4,9,2,9,14,11,9,6,2,9,4,7,13,10,2,16,4,8,4
146,7,6,5,6,8,7,6,7,6,7,5,6,7,6,6,5,8,6,7,8,8,11,6,6
147,12,28,27,22,25,33,29,36,38,42,26,28,28,25,25,15,18,21,16,37,25,14,25,17
148,8,17,18,18,32,25,25,27,23,25,20,24,25,22,16,24,15,16,10,4,12,16,14,6
149,8,11,11,10,11,11,11,11,14,12,14,12,12,10,10,11,11,15,7,7,11,11,8,7
150,40,46,62,62,66,57,49,61,64,37,56,36,27,42,42,31,31,43,33,50,42,32,27,53
151,2,6,14,12,2,13,14,14,9,14,16,9,9,2,8,7,2,9,2,12,2,2,8,4
152,2,4,3,6,5,5,4,1,4,7,5,4,5,1,3,5,3,6,1,6,8,8,4,1
153,12,11,8,10,14,11,11,12,10,11,9,11,11,10,10,9,14,11,13,14,14,19,10,10
154,5,20,13,10,20,21,29,17,13,21,19,14,14,15,13,12,13,14,17,17,6,12,23,16
155,1,3,3,8,4,3,3,10,4,1,3,2,4,5,4,4,1,2,3,7,1,1,3,2
156,2,5,2,5,5,5,10,3,9,10,12,7,3,5,5,5,6,3,2,6,6,3,7,3
157,7,6,9,8,8,9,9,10,6,10,11,6,9,8,8,9,12,9,9,9,8,11,7,7
158,36,49,64,42,48,49,48,37,63,53,47,50,53,42,44,48,47,50,32,31,31,47,27,20
159,38,27,44,44,67,49,68,52,45,38,34,36,22,50,32,46,31,47,32,88,22,26,42,33
160,14,9,8,12,17,14,10,14,13,14,16,13,13,12,12,13,17,13,15,12,16,16,12,12
161,27,25,24,23,16,26,18,28,24,26,18,25,26,27,17,15,14,36,11,27,23,33,23,18
162,10,10,10,4,19,5,11,4,14,15,17,7,6,4,7,4,4,14,1,4,1,3,11,3
163,3,2,2,2,27,3,14,3,20,22,25,4,5,5,6,2,6,20,2,2,2,4,2,4
164,5,2,7,4,5,5,9,9,10,13,11,12,9,5,8,5,6,8,2,2,2,6,7,3
165,4,5,4,2,7,9,7,5,7,14,12,14,10,5,9,10,6,6,3,4,3,4,6,5
166,3,7,3,4,7,4,20,5,13,14,13,9,4,6,6,6,8,5,2,8,5,3,4,4
167,27,21,17,30,24,45,22,38,20,17,28,44,31,26,39,36,18,24,34,32,19,37,13,20
168,50,40,50,54,39,43,47,53,61,51,59,64,51,61,62,68,42,47,47,43,46,37,52,42
169,7,12,7,7,7,7,13,5,24,26,12,17,18,7,12,5,11,6,5,6,7,12,28,41
170,67,8,8,9,12,9,8,12,14,12,17,14,10,9,8,29,10,28,40,10,63,31,20,8
171,24,7,29,10,18,21,15,25,12,25,25,31,25,27,21,24,41,31,24,19,27,38,3,25
172,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,0
173,3,6,6,5,5,5,6,6,6,9,5,6,6,5,5,3,5,4,3,6,5,3,5,4
174,30,21,14,37,29,33,40,44,38,41,48,40,41,43,36,32,17,30,9,52,13,40,3,32
175,7,5,7,7,8,8,8,6,7,8,9,5,6,8,7,7,10,7,8,10,6,7,5,5
