edge_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
174,31,38,10,35,46,42,41,38,54,74,46,39,36,40,47,65,49,62,36,33,46,53,10,24
175,8,7,10,1,9,8,8,7,10,14,6,7,7,8,6,12,9,12,10,8,6,10,12,7
176,12,21,16,15,17,16,22,21,28,19,24,27,19,27,17,23,21,16,12,20,14,14,12,12
177,45,55,57,56,67,61,87,56,79,79,67,76,53,58,48,45,50,62,77,49,36,77,94,46
178,77,40,7,91,38,23,31,49,33,67,9,35,67,52,42,43,27,14,68,63,59,98,120,51
179,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
180,43,52,53,47,32,32,39,52,52,43,37,50,50,38,45,11,47,48,37,46,44,37,45,30
181,35,15,17,20,4,13,4,16,22,6,4,31,21,23,19,5,20,21,31,25,27,31,15,19
182,6,6,6,8,9,10,9,12,12,10,10,11,11,9,9,5,11,8,8,10,6,8,5,5
183,24,41,46,5,5,20,5,18,32,5,5,34,15,13,16,5,5,9,5,5,5,5,41,5
184,18,22,23,29,27,25,35,22,32,43,27,31,21,23,19,26,20,25,31,19,14,31,38,23
185,18,19,27,11,9,21,11,20,23,12,11,25,17,17,18,11,10,14,12,11,9,10,27,11
186,23,26,21,23,18,22,23,23,32,27,36,28,29,21,30,34,20,31,32,29,31,20,31,26
187,6,8,8,8,9,8,11,11,14,10,12,14,10,14,9,8,9,8,6,10,9,7,6,6
188,36,10,29,4,3,3,22,20,10,35,26,22,25,36,42,25,22,45,23,20,13,38,23,35
189,8,9,7,8,6,7,8,8,10,9,12,9,10,7,10,8,7,10,11,10,10,7,10,9
190,6,6,3,8,5,4,6,4,8,10,4,3,3,4,7,6,8,5,4,3,4,3,4,6
191,13,22,23,16,21,17,17,18,11,22,10,16,16,16,21,11,6,17,22,21,13,13,14,18
192,18,22,23,29,27,25,24,22,32,44,27,31,21,23,19,26,20,25,31,20,14,31,38,23
193,38,8,7,3,42,39,26,24,50,47,42,48,26,37,43,59,22,56,48,56,29,34,21,11
194,11,10,7,15,16,18,16,21,21,17,18,20,20,15,18,5,19,11,15,14,11,15,11,10
195,23,18,11,52,41,45,44,41,58,80,49,42,39,43,29,57,53,66,57,51,38,39,26,34
196,7,1,2,8,7,7,7,6,9,12,7,6,6,6,8,10,8,10,9,10,7,9,10,6
197,6,14,8,8,9,10,11,10,14,9,12,14,10,14,9,8,8,8,6,10,9,7,6,6
198,7,6,9,8,8,1,3,6,9,12,8,9,6,7,8,11,8,10,9,10,8,9,11,7
199,13,32,22,24,32,36,36,33,47,64,40,34,31,35,41,56,42,16,46,41,40,10,42,24
200,6,7,12,16,2,10,15,14,8,19,17,21,9,8,9,11,14,16,10,13,17,7,19,15
201,8,16,8,14,5,9,3,11,16,16,11,15,15,11,14,13,14,15,11,13,7,8,13,7
202,14,5,30,26,24,5,22,20,29,11,17,14,19,10,17,34,18,6,13,16,7,20,11,21
203,6,9,3,10,9,7,7,6,6,9,8,9,6,5,6,5,4,7,5,4,4,5,9,5
204,1,3,2,4,1,1,3,3,6,9,1,6,6,7,5,11,4,2,6,7,5,5,11,2
205,24,30,14,38,27,23,32,21,43,41,36,41,13,22,37,35,14,23,21,18,25,29,35,22
206,18,57,38,49,20,31,47,43,43,41,53,41,41,35,38,36,29,49,44,41,40,44,52,35
207,60,55,22,52,67,61,60,55,79,108,67,76,53,58,48,65,71,90,77,70,47,77,94,32
208,11,10,10,9,4,12,11,14,21,20,17,20,14,15,12,13,13,5,20,23,17,20,15,14
209,15,8,39,12,5,24,22,26,18,18,22,36,25,28,23,26,34,12,30,18,17,13,10,22
210,20,34,51,45,42,38,38,35,31,49,42,48,33,36,36,34,45,20,35,33,42,33,46,28
211,6,13,8,8,8,9,11,10,14,9,12,13,9,13,8,8,8,8,6,10,8,7,6,6
212,10,21,18,43,30,37,36,33,48,65,21,26,19,27,41,39,32,54,46,18,24,15,14,13
213,5,20,16,17,4,8,14,9,13,26,23,26,26,20,23,15,12,5,26,9,15,11,18,22
214,7,5,2,23,2,8,12,16,13,21,19,11,10,9,10,13,11,18,11,15,19,8,13,24
215,12,9,6,7,6,9,6,12,11,7,6,22,22,10,7,7,4,6,19,14,20,7,8,5
216,9,4,15,10,15,15,21,16,61,58,25,21,15,17,16,26,14,13,21,11,11,8,10,12
217,6,13,8,9,8,9,11,10,14,9,12,13,9,13,8,8,8,8,6,10,8,7,6,6
218,7,6,9,8,8,1,7,6,9,9,8,9,6,7,8,11,8,10,9,10,8,9,11,7
219,70,63,94,82,77,6,53,64,92,125,78,88,61,67,80,109,83,104,89,103,78,89,109,67
220,44,40,34,52,29,45,31,41,40,40,28,39,39,43,35,36,27,48,41,38,49,41,70,33
221,14,8,27,24,31,28,28,25,30,30,31,26,24,27,22,27,33,33,26,17,16,20,10,10
222,13,3,28,17,15,3,15,18,21,14,3,3,3,3,26,3,3,3,3,22,22,3,24,29
223,8,14,11,13,12,11,15,14,19,13,16,18,13,18,11,11,11,11,6,13,11,8,8,8
224,11,32,11,39,39,34,35,32,32,31,19,33,31,34,40,36,31,52,30,25,39,7,19,34
225,10,16,18,7,7,17,5,28,28,6,8,32,22,20,20,6,25,14,16,20,12,16,10,13
226,38,28,23,26,23,24,36,26,35,29,39,44,32,23,33,38,22,33,35,32,33,28,34,28
227,3,2,3,2,3,4,4,4,3,4,4,6,6,3,3,2,2,2,3,4,7,4,2,3
228,11,17,21,14,15,23,15,20,29,20,25,19,19,21,18,17,18,16,14,13,11,14,9,12
229,4,4,6,5,4,6,5,7,6,5,5,9,7,9,9,5,5,5,8,9,4,5,5,3
230,11,8,5,5,5,10,5,14,13,10,6,13,14,10,18,17,4,5,13,8,7,9,9,5
231,11,8,7,10,11,7,11,10,10,9,12,13,12,9,10,10,8,10,10,13,12,15,10,12
232,16,9,6,15,24,32,31,29,28,34,24,29,27,30,25,21,37,33,19,20,18,16,11,15
233,38,24,36,45,39,39,38,51,73,60,43,36,49,37,36,35,46,47,49,43,43,49,33,30
234,6,13,8,9,8,9,11,10,14,9,12,13,9,13,8,8,7,8,10,10,8,7,6,6
235,17,12,12,11,15,12,17,21,17,18,19,31,29,15,16,15,11,12,12,17,28,11,11,14
236,1,5,4,2,5,6,7,10,9,8,10,6,8,10,7,5,9,2,3,2,3,4,3,3
237,19,17,18,23,21,20,13,18,19,24,16,13,13,13,15,21,23,20,18,28,11,12,16,18
238,45,64,42,84,30,50,34,45,48,46,55,62,48,47,56,40,30,60,41,73,79,45,45,68
239,22,20,10,19,18,32,31,29,29,24,16,9,28,21,25,41,30,20,22,32,24,28,34,24
240,30,11,37,57,62,68,67,62,88,87,52,49,45,65,64,45,65,68,62,78,57,48,73,64
241,8,7,11,9,9,8,8,7,11,14,9,10,7,8,9,12,9,12,10,12,9,10,12,8
242,3,7,6,5,4,5,6,5,7,5,6,7,5,7,4,6,4,4,6,5,4,4,5,3
243,43,27,40,24,5,16,5,27,27,8,13,37,26,29,23,6,24,25,38,30,33,38,22,23
244,1,4,2,2,3,4,5,7,7,5,7,4,5,6,2,4,4,1,3,1,2,3,2,1
245,22,25,37,21,31,28,28,25,36,40,31,35,24,27,32,32,25,33,28,32,31,35,43,26
246,26,13,29,29,26,32,33,34,38,59,36,41,42,46,33,38,21,24,26,43,30,25,40,25
247,3,19,14,14,19,15,15,14,15,27,16,10,19,11,13,9,10,11,14,25,10,11,17,29
248,8,13,16,11,12,18,12,16,13,16,20,15,15,17,14,13,14,12,11,8,8,11,7,9
249,4,47,70,39,57,52,51,47,68,67,57,65,35,50,59,80,61,77,32,76,57,66,18,49
250,45,42,34,38,53,36,53,51,51,43,58,66,47,45,49,50,40,49,52,63,59,59,50,33
251,24,22,2,17,20,25,24,22,32,5,27,31,16,16,28,38,22,29,14,28,27,20,17,23
252,7,22,22,10,5,6,13,22,12,26,18,12,21,9,8,13,11,12,11,6,14,9,37,18
253,27,8,28,10,11,12,30,12,39,54,8,28,16,29,6,47,36,45,28,4,20,38,3,29
254,25,4,20,10,6,6,15,14,17,24,18,12,17,25,29,17,20,31,6,30,9,15,21,24
255,10,9,11,8,3,8,8,9,8,10,9,10,11,10,11,11,7,6,12,9,9,7,11,11
256,4,6,1,2,5,1,3,4,4,3,5,6,4,4,4,3,6,5,5,6,6,5,10,4
257,20,31,32,3,22,24,23,31,44,61,38,43,12,23,19,7,19,24,15,6,3,3,21,18
258,9,5,13,7,16,12,9,14,11,9,13,14,14,18,5,11,15,15,2,11,7,3,2,6
259,26,32,25,30,39,36,35,32,38,46,39,37,31,34,23,29,29,42,33,31,23,23,30,21
260,27,33,50,23,41,37,16,16,30,22,23,10,32,27,24,57,44,21,38,16,31,47,45,35
261,28,21,23,34,32,3,18,14,24,18,18,37,17,28,28,3,21,25,7,12,9,21,45,28
262,36,15,26,36,17,31,16,28,30,19,34,39,27,21,24,12,25,30,39,19,34,27,18,29
263,3,7,5,5,3,7,2,12,12,3,12,14,11,10,10,3,11,11,11,11,5,6,6,10
264,24,29,62,19,38,46,46,42,60,13,51,43,31,34,43,44,38,21,29,29,27,33,27,24
265,3,1,7,9,6,5,5,4,3,6,4,4,5,4,3,4,6,4,3,2,3,3,4,2
266,6,6,9,7,6,10,8,8,9,10,9,10,10,11,13,9,8,14,12,11,15,13,8,9
267,14,26,28,16,19,14,14,26,21,22,22,20,15,11,14,17,34,17,7,14,11,7,14,28
268,29,32,6,20,18,25,35,25,46,23,18,33,10,34,23,31,41,13,30,15,27,16,3,33
269,6,6,7,7,6,6,8,8,9,10,9,10,10,11,13,9,8,14,11,10,7,6,8,6
270,14,39,10,18,33,14,33,39,38,56,48,40,37,28,25,31,51,37,39,39,48,34,67,41
271,14,51,75,25,52,57,56,51,55,101,62,20,49,54,64,58,66,83,71,83,62,71,5,54
272,12,16,17,9,15,18,18,16,23,16,20,12,15,17,14,19,15,12,11,12,8,11,10,9
273,29,12,27,8,25,29,14,18,18,17,9,36,15,28,33,3,18,17,13,21,12,30,16,28
274,6,22,15,32,30,23,27,25,35,25,22,19,14,13,31,42,24,40,34,25,18,11,20,12
275,7,6,9,7,7,6,8,9,10,10,9,10,11,12,14,10,8,14,12,11,7,6,8,9
