id,lng,lat
599,-74.001654,40.733706
600,-74.001637,40.76132
601,-74.001597,40.726119
602,-74.001574,40.735128
603,-74.001573,40.707808
604,-74.001566,40.717299
605,-74.001555,40.74108
606,-74.001553,40.735797
607,-74.001463,40.737168
608,-74.001447,40.721252
609,-74.00143,40.751445
610,-74.001425,40.719938
611,-74.001421,40.756424
612,-74.001413,40.731065
613,-74.001403,40.722556
614,-74.00139,40.72766
615,-74.001389,40.734483
616,-74.001345,40.707277
617,-74.001326,40.746492
618,-74.001311,40.762068
619,-74.001205,40.733843
620,-74.001189,40.72917
621,-74.001182,40.707364
622,-74.001177,40.710111
623,-74.001167,40.731774
624,-74.001129,40.741668
625,-74.001127,40.724166
626,-74.001103,40.733439
627,-74.001095,40.736564
628,-74.001062,40.761957
629,-74.00102,40.730246
630,-74.001014,40.75204
631,-74.000988,40.717932
632,-74.000965,40.757025
633,-74.000954,40.731706
634,-74.000906,40.752183
635,-74.000901,40.748801
636,-74.000898,40.725773
637,-74.00086,40.708791
638,-74.000848,40.747147
639,-74.000818,40.71693
640,-74.000789,40.715291
641,-74.000722,40.735926
642,-74.000703,40.73324
643,-74.000703,40.742254
644,-74.000661,40.72084
645,-74.000657,40.722183
646,-74.000647,40.73723
647,-74.000632,40.727287
648,-74.000622,40.719552
649,-74.000564,40.762627
650,-74.000549,40.757609
651,-74.000532,40.71843
652,-74.000527,40.752688
653,-74.000511,40.732315
654,-74.000499,40.729988
655,-74.000486,40.708348
656,-74.000452,40.714372
657,-74.000435,40.728794
658,-74.000399,40.747767
659,-74.000367,40.723795
660,-74.000357,40.733973
661,-74.000356,40.735307
662,-74.00035,40.76251
663,-74.000275,40.742839
664,-74.000274,40.717619
665,-74.000183,40.737865
666,-74.000138,40.7162
667,-74.000123,40.707903
668,-74.000122,40.730432
669,-74.000101,40.725382
670,-74.000083,40.758253
671,-74.000066,40.732929
672,-73.999973,40.734688
673,-73.999956,40.718017
674,-73.999938,40.7484
675,-73.999916,40.726935
676,-73.999868,40.720433
677,-73.999853,40.721792
678,-73.999848,40.743425
679,-73.999841,40.719193
680,-73.999835,40.763127
681,-73.999702,40.711795
682,-73.999684,40.738552
683,-73.999678,40.728423
684,-73.999653,40.73407
685,-73.999633,40.753918
686,-73.999631,40.758877
687,-73.999609,40.723423
688,-73.999606,40.763027
689,-73.999593,40.714451
690,-73.999587,40.731051
691,-73.999555,40.733611
692,-73.999554,40.713932
693,-73.999526,40.75181
694,-73.999449,40.71733
695,-73.999423,40.71868
696,-73.999422,40.744009
697,-73.999367,40.730058
698,-73.999345,40.725008
699,-73.999333,40.752178
700,-73.999321,40.715918
701,-73.999313,40.71755
702,-73.999291,40.708776
703,-73.999234,40.718913
704,-73.999189,40.759487
705,-73.999188,40.734134
706,-73.999185,40.739243
707,-73.999143,40.754585
708,-73.999119,40.726543
709,-73.999108,40.731627
710,-73.999061,40.720044
711,-73.999049,40.708595
712,-73.999035,40.749638
713,-73.999031,40.721421
714,-73.998985,40.763602
715,-73.998972,40.74463
716,-73.998955,40.728068
717,-73.998888,40.712599
718,-73.998866,40.714995
719,-73.998842,40.730669
720,-73.998812,40.723021
721,-73.998796,40.714502
722,-73.998753,40.718445
723,-73.998744,40.760105
724,-73.998728,40.764304
725,-73.998714,40.734784
726,-73.998713,40.739881
727,-73.998678,40.711879
728,-73.998661,40.755252
