id,olng,olat,dlng,dlat,Ts,Tr,Cep,Tp,Td,WT,TD,D
2528,-73.98921999999997,40.716557,-73.990913,40.755161,1265.57,3780,3780,-1.0,-1.0,-1,-1,0.0
2529,-73.997963,40.72103900000001,-73.982933,40.76329000000001,1151.85,3780,3780,-1.0,-1.0,-1,-1,0.0
2530,-73.963348,40.798691,-73.944778,40.821281,556.04,3780,3780,4059.3500000000004,4615.39,279.35000000000036,0.0,1.0
2531,-73.980377,40.78027700000001,-73.95998399999998,40.813641,505.5,3780,3780,3967.4500000000003,4859.13,187.45000000000027,386.17999999999984,1.7639564787339266
2532,-73.98041500000002,40.745407,-73.99475100000002,40.72338900000001,675.54,3780,3780,-1.0,-1.0,-1,-1,0.0
2533,-73.96464499999998,40.75993,-73.932899,40.858238,1246.02,3780,3780,4583.339999999999,-1.0,803.3399999999992,-1,0.0
2534,-73.984711,40.719742,-73.994209,40.761368,1267.85,3780,3780,3886.71,-1.0,106.71000000000004,-1,0.0
2535,-74.003914,40.747746,-73.992104,40.753971,312.88,3780,3780,3822.4399999999996,4465.0599999999995,42.4399999999996,329.7399999999999,2.053886474047558
2536,-73.985214,40.758015,-73.991119,40.750384999999994,214.67,3780,3780,-1.0,-1.0,-1,-1,0.0
2537,-73.955894,40.803768,-73.955246,40.820236,383.76,3780,3780,4031.66,4652.49,251.65999999999985,237.06999999999994,1.6177558890973525
2538,-73.981499,40.74115,-73.951492,40.782356,693.35,3780,3780,-1.0,-1.0,-1,-1,0.0
2539,-73.994919,40.749561,-73.985535,40.744186,393.88,3780,3780,-1.0,-1.0,-1,-1,0.0
2540,-73.956703,40.771072,-73.94561800000002,40.778027,276.59,3780,3780,3880.08,4261.18,100.07999999999993,104.51000000000039,1.3778516938428735
2541,-73.98026999999998,40.742577000000004,-73.982536,40.745132,126.79,3780,3780,3930.04,4056.83,150.03999999999996,-4.263256414560601e-14,0.9999999999999997
2542,-73.991959,40.764462,-73.988853,40.755177,437.92,3783,3783,4002.9300000000003,4814.85,219.9300000000003,374.00000000000006,1.8540372670807455
2543,-73.98677099999998,40.759338,-73.978973,40.725746,1068.08,3786,3786,3915.86,-1.0,129.86000000000013,-1,0.0
2544,-73.986763,40.725983,-73.99613199999997,40.72699,369.22,3789,3789,-1.0,-1.0,-1,-1,0.0
2545,-74.00988000000002,40.705028999999996,-73.997803,40.756252,970.93,3792,3792,3935.33,4999.42,143.32999999999993,93.1600000000002,1.0959492445387413
2546,-73.99834399999997,40.750145,-73.97805,40.736568,608.37,3796,3796,4081.61,4689.9800000000005,285.6100000000001,3.410605131648481e-13,1.0000000000000007
