scenario,demand starts,demand ends,demand number,fleet size,capacity,max wait (s),max wait (s),method,interval (s),service type,total service rate,served rate (finished),serving rate (in-car),mean wt,mean ivd,mean detour,mean ivt
1.0,2020-01-15_16:58,2020-01-15_17:00,0:02:10,runtime:,0.19,load (d):,0.81,load (t):,0.18,VWST:,3.26% (50),3.26% (50),0.0% (0),319.55,47.48,1.09,613.17
,,,,,,,,,,VWVT:,2.67% (41),2.67% (41),0.0% (0),201.45,440.31,1.61,1367.5
Manhattan,2013-05-06 00:00:00,2013-05-06 02:19:00,919 (10.0%),300,4 (0),300,600,GI,1,SWST:,75.3% (692),74.32% (683),0.98% (9),154.59,116.38,1.19,803.49
1.0,2020-01-15_16:59,2020-01-15_17:13,0:14:13,runtime:,0.1,load (d):,0.78,load (t):,0.39,VWST:,4.79% (44),4.79% (44),0.0% (0),324.92,71.91,1.14,714.35
,,,,,,,,,,VWVT:,3.7% (34),3.7% (34),0.0% (0),200.22,447.93,1.51,1449.47
Manhattan,2013-05-06 00:00:00,2013-05-06 02:19:00,919 (10.0%),300,4 (7),300,600,OSP,30,SWST:,75.63% (695),74.76% (687),0.87% (8),160.36,110.46,1.17,814.17
1.0,2020-01-15_17:16,2020-01-15_17:17,0:00:59,runtime:,0.21,load (d):,0.78,load (t):,0.39,VWST:,4.35% (40),4.35% (40),0.0% (0),322.99,69.87,1.13,662.67
,,,,,,,,,,VWVT:,3.05% (28),3.05% (28),0.0% (0),197.27,456.29,1.62,1300.55
Manhattan,2013-05-06 00:00:00,2013-05-06 02:19:00,919 (10.0%),300,4 (7),300,600,OSP-RO,30,SWST:,80.74% (742),79.87% (734),0.87% (8),156.59,105.45,1.18,792.03
1.0,2020-01-15_17:16,2020-01-15_17:17,0:01:05,runtime:,0.23,load (d):,0.78,load (t):,0.4,VWST:,4.13% (38),4.13% (38),0.0% (0),320.78,53.3,1.08,720.62
,,,,,,,,,,VWVT:,2.94% (27),2.94% (27),0.0% (0),205.17,443.99,1.59,1367.48
Manhattan,2013-05-06 00:00:00,2013-05-06 02:19:00,919 (10.0%),300,4 (1),300,600,OSP-SR,30,SWST:,75.63% (695),74.97% (689),0.65% (6),156.37,100.55,1.16,782.48
1.0,2020-01-15_17:16,2020-01-15_17:17,0:00:59,runtime:,0.21,load (d):,0.78,load (t):,0.39,VWST:,4.35% (40),4.35% (40),0.0% (0),326.11,58.55,1.07,721.73
,,,,,,,,,,VWVT:,3.81% (35),3.81% (35),0.0% (0),176.73,477.13,1.61,1527.06
Manhattan,2013-05-06 00:00:00,2013-05-06 02:19:00,919 (10.0%),300,4 (0),300,600,GI,1,SWST:,74.76% (687),73.88% (679),0.87% (8),155.15,114.23,1.18,804.7
1.0,2020-01-15_17:16,2020-01-15_17:30,0:13:36,runtime:,0.1,load (d):,0.77,load (t):,0.39,VWST:,4.03% (37),4.03% (37),0.0% (0),319.95,84.17,1.18,784.36
,,,,,,,,,,VWVT:,3.81% (35),3.81% (35),0.0% (0),194.38,451.97,1.66,1252.11
Manhattan,2013-05-06 00:00:00,2013-05-06 23:59:00,373837 (100%),2200,4 (7),300,600,OSP,30,SWST:,93.5% (349554),93.4% (349152),0.11% (402),145.86,175.46,1.29,785.05
1.0,2020-01-15_15:48,2020-01-15_18:13,2:24:56,runtime:,3.02,load (d):,1.83,load (t):,1.5,VWST:,0.15% (546),0.15% (546),0.0% (0),499.59,38.08,1.06,722.88
,,,,,,,,,,VWVT:,1.63% (6110),1.63% (6103),0.0% (7),1199.09,-0.0,1.0,633.58
Manhattan,2013-05-06 00:00:00,2013-05-06 23:59:00,373837 (100%),2200,4 (7),300,600,OSP,30,SWST:,68.29% (255295),68.2% (254952),0.09% (343),174.08,214.59,1.37,832.9
1.0,2020-01-15_20:27,2020-01-15_21:45,1:18:08,runtime:,1.63,load (d):,2.04,load (t):,1.15,VWST:,0.0% (0),0.0% (0),0.0% (0),0.0,0.0,0.0,0.0
,,,,,,,,,,VWVT:,0.0% (1),0.0% (1),0.0% (0),278.59,321.41,1.46,1016.15
Manhattan,2013-05-06 00:00:00,2013-05-06 23:59:00,373837 (100%),2000,6 (10),300,600,OSP-RO,30,SWST:,95.47% (356916),95.36% (356483),0.12% (433),135.31,179.33,1.3,789.28
1.0,2020-01-15_11:41,2020-01-16_05:07,17:26:04,runtime:,21.81,load (d):,2.07,load (t):,1.69,VWST:,0.08% (298),0.08% (298),0.0% (0),507.43,29.57,1.05,728.12
,,,,,,,,,,VWVT:,1.42% (5324),1.42% (5321),0.0% (3),1227.13,0.08,1.0,638.05
Manhattan,2013-05-06 00:00:00,2013-05-06 23:59:00,373837 (100%),2200,4 (7),300,600,OSP,30,SWST:,93.8% (350666),93.7% (350282),0.1% (384),143.41,158.59,1.26,767.94
1.0,2020-01-16_13:00,2020-01-16_16:09,3:08:40,runtime:,3.93,load (d):,1.81,load (t):,1.48,VWST:,0.16% (584),0.16% (584),0.0% (0),502.9,33.24,1.05,714.14
,,,,,,,,,,VWVT:,1.68% (6289),1.68% (6285),0.0% (4),1180.67,0.0,1.0,637.6
Manhattan,2013-05-06 00:00:00,2013-05-06 23:59:00,373837 (100%),2000,10 (18),300,600,OSP-RO,30,SWST:,96.17% (359519),96.06% (359090),0.11% (429),132.9,180.07,1.3,789.71
1.0,2020-01-16_13:32,2020-01-17_09:09,19:36:32,runtime:,24.53,load (d):,2.08,load (t):,1.71,VWST:,0.09% (323),0.09% (323),0.0% (0),507.65,33.49,1.05,772.88
